date,Core-5 CPI
2018-01-01,100.45525896083899
2018-02-01,100.75424294059732
2018-03-01,100.4214888742065
2018-04-01,100.01918435347558
2018-05-01,100.16286517660147
2018-06-01,100.32616649729192
2018-07-01,100.27967189870422
2018-08-01,100.60635154626587
2018-09-01,100.39247637165985
2018-10-01,100.79697581145135
2018-11-01,101.13537796484538
2018-12-01,101.50235455711797
2019-01-01,101.50909605039213
2019-02-01,101.26725946825661
2019-03-01,101.12958863933206
2019-04-01,101.34536624613312
2019-05-01,102.27712321905143
2019-06-01,102.55586431777085
2019-07-01,102.92286467429768
2019-08-01,104.07697688998586
2019-09-01,103.87750707228743
2019-10-01,104.70278980951694
2019-11-01,106.36078271573243
2019-12-01,102.85069423054628
2020-01-01,102.56716998639746
2020-02-01,102.34550112440041
2020-03-01,102.57575367480176
2020-04-01,103.41087651425737
2020-05-01,103.08500875732906
2020-06-01,103.33440404610951
2020-07-01,103.01812339164549
2020-08-01,104.00257004915834
2020-09-01,101.74970997977553
2020-10-01,102.30096761271429
2020-11-01,101.9339811310636
2020-12-01,102.23733299549993
2021-01-01,102.62156810982546
2021-02-01,102.7321457130513
2021-03-01,102.7216994740902
2021-04-01,102.60134228236326
2021-05-01,102.34584056046732
2021-06-01,102.25840738103717
2021-07-01,102.53124935741499
2021-08-01,103.5359995026396
2021-09-01,103.01449992158699
2021-10-01,102.33108826307765
2021-11-01,102.47549914732227
2021-12-01,102.45945047362406
2022-01-01,102.81446821244113
2022-02-01,103.05863006115426
2022-03-01,102.86743952078089
2022-04-01,102.86130898410417
2022-05-01,103.6623664483165
2022-06-01,104.42540832487572
2022-07-01,104.98677996069443
2022-08-01,105.15623716856703
2022-09-01,105.50349667608349
2022-10-01,106.88671790553974
2022-11-01,107.401671525669
2022-12-01,107.45040933275706
2023-01-01,108.03938260480298
2023-02-01,106.95090193269922
2023-03-01,106.83147703550456
2023-04-01,107.10589326151239
2023-05-01,108.31580672461094
2023-06-01,108.70971784705887
2023-07-01,109.08318264575199
2023-08-01,109.86026626716557
2023-09-01,109.56974715642286
2023-10-01,109.46715509933597
2023-11-01,109.444388189594
2023-12-01,110.3594652971804
2024-01-01,110.17417957538336
2024-02-01,110.424425664421
2024-03-01,111.28434795393221
2024-04-01,112.55866755251282
2024-05-01,113.77809750440468
2024-06-01,114.6435781543897
2024-07-01,114.92880764294046
2024-08-01,117.57197732972527
2024-09-01,119.12612972290603
2024-10-01,122.25634804107341
2024-11-01,124.57281960682374
2024-12-01,126.32036685921534
2025-01-01,129.23529656130782
2025-02-01,131.23264748512747
2025-03-01,134.60930962816477
2025-04-01,136.19844893758017
2025-05-01,143.81709435115255
2025-06-01,155.09294371980323
2025-07-01,156.9685782855831
2025-08-01,158.75258381374493
2025-09-01,158.94534472545115
2025-10-01,160.59957688957044
2025-11-01,161.57755012502076
2025-12-01,159.34806191231118
2026-01-01,158.658085743468
2026-02-01,156.6527834885177
2026-03-01,155.66220340905787
2026-04-01,155.8102047307388
2026-05-01,161.28059647342025
2026-06-01,166.0856096892279
